row_number,video_id,url,video_length_seconds,video_length_minutes,total_segments,word_count,overall_sentiment,polarity,subjectivity,joy_score,anger_score,fear_score,sadness_score,surprise_score,disgust_score,trust_score,anticipation_score
2,DR4234R9spc,https://www.youtube.com/watch?v=DR4234R9spc,1103.7,18.4,33,3222,positive,0.154,0.498,0.0,2.173,0.0,0.31,0.0,0.0,0.621,0.0
3,Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,2949.3,49.2,87,7836,positive,0.142,0.527,1.787,0.51,0.0,0.255,0.128,0.0,1.149,0.128
9,ijwjdzNvQ7Q,https://www.youtube.com/watch?v=ijwjdzNvQ7Q,1408.8,23.5,42,4020,positive,0.107,0.552,0.746,2.985,0.498,0.249,0.0,0.0,2.239,0.0
19,djJ63Ueahiw,https://www.youtube.com/watch?v=djJ63Ueahiw,1823.4,30.4,53,4794,positive,0.181,0.483,1.877,0.626,0.0,0.0,0.0,0.0,0.0,0.0
22,jJj9Z61WmUk,https://www.youtube.com/watch?v=jJj9Z61WmUk,629.8,10.5,19,1903,positive,0.185,0.487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,eqbBBDNY16o,https://www.youtube.com/watch?v=eqbBBDNY16o,2351.0,39.2,69,5153,neutral,0.076,0.423,0.0,1.358,0.0,0.194,0.194,0.0,0.0,0.0
30,-DXhoSRKTU8,https://www.youtube.com/watch?v=-DXhoSRKTU8,138.0,2.3,5,400,neutral,-0.034,0.439,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,e8VSXrknk8E,https://www.youtube.com/watch?v=e8VSXrknk8E,4054.5,67.6,124,12168,positive,0.156,0.468,0.082,1.233,0.411,0.247,0.0,0.0,2.137,0.0
36,igutO94-JYo,https://www.youtube.com/watch?v=igutO94-JYo,10420.1,173.7,303,27388,neutral,0.097,0.51,0.475,2.081,0.146,0.11,0.037,0.0,0.694,0.073
40,IxnQZLQbjDw,https://www.youtube.com/watch?v=IxnQZLQbjDw,704.9,11.7,22,2007,neutral,0.058,0.412,0.0,1.495,0.0,0.0,0.0,0.0,0.997,0.0
46,U-I2B1LeexA,https://www.youtube.com/watch?v=U-I2B1LeexA,3717.2,62.0,110,9581,positive,0.106,0.484,1.044,1.357,0.209,0.417,0.104,0.0,1.879,0.731
47,DtW8rTEgQKo,https://www.youtube.com/watch?v=DtW8rTEgQKo,545.0,9.1,17,1571,positive,0.217,0.508,0.0,2.546,0.0,0.0,0.0,0.0,0.0,0.0
48,Hrco7tKNwkw,https://www.youtube.com/watch?v=Hrco7tKNwkw,1077.0,17.9,30,2403,neutral,0.07,0.37,0.0,1.665,0.0,0.0,0.0,0.0,0.0,0.0
50,AnxTliVNVNM,https://www.youtube.com/watch?v=AnxTliVNVNM,1123.0,18.7,32,3104,positive,0.218,0.526,2.899,0.644,0.0,0.0,0.0,0.0,0.322,2.255
51,_BfF7oURi_0,https://www.youtube.com/watch?v=_BfF7oURi_0,4894.5,81.6,104,4035,neutral,0.098,0.355,1.239,1.487,0.0,0.0,0.0,0.0,2.23,0.0
52,AvKDTQvsvJc,https://www.youtube.com/watch?v=AvKDTQvsvJc,533.8,8.9,17,1691,positive,0.111,0.445,3.548,0.0,1.183,0.0,0.0,0.0,0.0,0.0
56,watLSiSKds4,https://www.youtube.com/watch?v=watLSiSKds4,9346.1,155.8,275,22247,neutral,0.095,0.478,0.584,2.292,1.259,0.27,0.0,0.0,0.449,0.135
