row_number,video_id,url,video_length_seconds,video_length_minutes,total_segments,word_count,overall_sentiment,polarity,subjectivity,joy_score,anger_score,fear_score,sadness_score,surprise_score,disgust_score,trust_score,anticipation_score
5,D00TsypZp9c,https://www.youtube.com/watch?v=D00TsypZp9c,475.4,7.9,15,1626,neutral,0.067,0.471,0.615,2.46,0.0,0.0,0.615,0.0,1.845,0.0
14,60p9GMKVTIY,https://www.youtube.com/watch?v=60p9GMKVTIY,530.4,8.8,16,1208,positive,0.108,0.417,0.828,0.828,0.828,0.0,0.0,0.0,0.0,0.0
18,5JeyWmFNiZE,https://www.youtube.com/watch?v=5JeyWmFNiZE,2610.8,43.5,78,7944,positive,0.134,0.479,0.881,2.14,0.252,0.0,0.378,0.0,1.133,0.126
21,pLxUmEe1ejo,https://www.youtube.com/watch?v=pLxUmEe1ejo,489.7,8.2,15,1207,positive,0.137,0.463,0.0,3.314,0.0,0.0,0.0,0.0,0.0,0.0
38,_eVahSp_l4g,https://www.youtube.com/watch?v=_eVahSp_l4g,326.8,5.4,10,1261,positive,0.181,0.491,0.793,2.379,0.793,0.0,0.793,0.0,0.0,0.0
39,6xRsZhqOcCs,https://www.youtube.com/watch?v=6xRsZhqOcCs,220.3,3.7,7,571,positive,0.125,0.429,1.751,3.503,0.0,3.503,0.0,0.0,1.751,0.0
40,TsE9AtLJm_g,https://www.youtube.com/watch?v=TsE9AtLJm_g,16338.7,272.3,428,26854,positive,0.199,0.484,2.495,1.787,0.037,0.074,0.0,0.0,1.899,0.708
45,r3C5rawmH_0,https://www.youtube.com/watch?v=r3C5rawmH_0,255.5,4.3,7,465,neutral,0.048,0.295,0.0,2.151,0.0,0.0,0.0,0.0,2.151,0.0
52,E9EseprM9RM,https://www.youtube.com/watch?v=E9EseprM9RM,15148.3,252.5,422,28735,positive,0.189,0.515,0.766,1.218,0.209,0.174,0.035,0.0,2.401,0.07
55,fheAHGfbBnM,https://www.youtube.com/watch?v=fheAHGfbBnM,327.5,5.5,10,886,positive,0.196,0.55,3.386,2.257,0.0,0.0,0.0,0.0,1.129,1.129
67,fyigBM5gU-Q,https://www.youtube.com/watch?v=fyigBM5gU-Q,1296.6,21.6,39,3680,neutral,0.069,0.468,1.63,2.989,1.63,0.815,0.543,0.0,0.815,0.0
