video_id,video_url,segment_number,start_time,end_time,duration,sentiment,polarity,subjectivity,joy_score,anger_score,fear_score,sadness_score,surprise_score,disgust_score,trust_score,anticipation_score
DR4234R9spc,https://www.youtube.com/watch?v=DR4234R9spc,1,0.1,35.9,35.8,neutral,0.098,0.367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DR4234R9spc,https://www.youtube.com/watch?v=DR4234R9spc,2,33.3,69.2,35.9,positive,0.264,0.556,0.0,10.638,0.0,0.0,0.0,0.0,0.0,0.0
DR4234R9spc,https://www.youtube.com/watch?v=DR4234R9spc,3,66.4,101.9,35.5,neutral,-0.035,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DR4234R9spc,https://www.youtube.com/watch?v=DR4234R9spc,4,99.1,136.4,37.3,neutral,0.07,0.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DR4234R9spc,https://www.youtube.com/watch?v=DR4234R9spc,5,134.6,169.8,35.2,positive,0.153,0.524,0.0,10.101,0.0,0.0,0.0,0.0,0.0,0.0
DR4234R9spc,https://www.youtube.com/watch?v=DR4234R9spc,6,167.2,203.0,35.8,positive,0.13,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DR4234R9spc,https://www.youtube.com/watch?v=DR4234R9spc,7,201.0,235.5,34.6,neutral,-0.093,0.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DR4234R9spc,https://www.youtube.com/watch?v=DR4234R9spc,8,234.0,270.0,36.0,positive,0.135,0.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DR4234R9spc,https://www.youtube.com/watch?v=DR4234R9spc,9,268.2,304.6,36.3,neutral,0.089,0.465,0.0,0.0,0.0,11.628,0.0,0.0,0.0,0.0
DR4234R9spc,https://www.youtube.com/watch?v=DR4234R9spc,10,301.6,336.9,35.3,positive,0.194,0.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DR4234R9spc,https://www.youtube.com/watch?v=DR4234R9spc,11,334.9,367.9,33.0,positive,0.294,0.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DR4234R9spc,https://www.youtube.com/watch?v=DR4234R9spc,12,365.9,399.5,33.6,positive,0.204,0.374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DR4234R9spc,https://www.youtube.com/watch?v=DR4234R9spc,13,398.2,430.8,32.6,neutral,0.076,0.557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
