title,channel,publishedAt,duration_min,views,likes,comments,url,video_id,subscriber_count,channel_age_days,language,category_id,category_name,hashtags,channel_description
Pakistan India War | Pakistan J-10 C Fighter Jets Attack on Indian Army Supply Convoy- GTA V,The Gaming ,2025-05-28T08:23:54Z,714.98,1700350,3143,0,https://www.youtube.com/watch?v=PH3CoMQdE-M,PH3CoMQdE-M,,,,,,,
King Charles DESTROYS Trump in THRONE SPEECH,MeidasTouch,2025-05-27T18:30:06Z,14.35,1135299,76648,9590,https://www.youtube.com/watch?v=6BdwIyt0fVU,6BdwIyt0fVU,,,,,,,
SpaceX Starship Flight 9,NASASpaceflight,2025-05-28T01:58:51Z,371.12,979317,19136,182,https://www.youtube.com/watch?v=hAdLlG9Rfd4,hAdLlG9Rfd4,,,,,,,
"Hola, Eres Billonario? | 21 Días Entre Millonarios",Nil Ojeda,2025-05-27T18:30:06Z,71.95,737140,56755,2189,https://www.youtube.com/watch?v=3pZfxyIAdOM,3pZfxyIAdOM,,,,,,,
Japan Just Broke the Global Economy (Worse Than Greece),Andrei Jikh,2025-05-27T19:03:58Z,19.45,643188,21798,2221,https://www.youtube.com/watch?v=3FZipnSI_po,3FZipnSI_po,,,,,,,
Live🔴Siricilla Woman Incident | నడి రోడ్డుపై  మనోజ్ | Accused Manoj | Chandurthi |,SumanTV Suryapet,2025-05-28T06:18:50Z,715.02,501588,1285,5,https://www.youtube.com/watch?v=wobmF2mN2y8,wobmF2mN2y8,,,,,,,
DAILY BLESSING 2025 MAY-28/FR.MATHEW VAYALAMANNIL CST#DailyBlessing #Frmathewhvayalamannil,Sanoop Kanjamala,2025-05-27T23:58:06Z,11.62,352155,27454,8933,https://www.youtube.com/watch?v=DXl2_7gMVus,DXl2_7gMVus,,,,,,,
"ÚLTIMA HORA | Medvedev responde a Trump: ""La III Guerra Mundial es la única cosa mala que conozco""",Negocios TV,2025-05-27T19:15:48Z,2.17,334229,5111,872,https://www.youtube.com/watch?v=bwqacZJi1GY,bwqacZJi1GY,,,,,,,
"[시선집중] ""하버드 나왔다는 사람이 그걸.."", '선 넘은' 발언에 신지호도 (2025.05.28/MBC뉴스)",MBCNEWS,2025-05-28T00:26:25Z,3.27,270812,8152,3068,https://www.youtube.com/watch?v=l-dcyQQ14JQ,l-dcyQQ14JQ,,,,,,,
"""Women Are Better Employees Than Men"" - CEO",Aba N Preach,2025-05-27T18:24:16Z,14.78,252994,11836,2604,https://www.youtube.com/watch?v=qYzoNznetuo,qYzoNznetuo,,,,,,,
La Rosa de Guadalupe | UN VACÍO EN EL CORAZÓN [Part 1] | Capítulo 2025 FULL HD VIDEO,AG Productions ,2025-05-27T18:10:00Z,21.03,187099,318,8,https://www.youtube.com/watch?v=cmnu6TwonyU,cmnu6TwonyU,,,,,,,
¡12 AÑOS DESPUÉS! La ‘U’ EMPATÓ con River Plate y CLASIFICA a octavos,A PRESIÓN,2025-05-28T04:08:36Z,362.35,180834,4401,59,https://www.youtube.com/watch?v=NwE0J8M3usQ,NwE0J8M3usQ,,,,,,,
Diddy Trial Day 10: Sean Combs' former assistant Capricorn Clark called to testify,ABC News,2025-05-27T23:34:26Z,20.63,179402,1911,370,https://www.youtube.com/watch?v=MG3hsGALdN4,MG3hsGALdN4,,,,,,,
Trump’s Trade Tactics: Is India Getting a Fair Deal? | Vantage with Palki Sharma  |N18G,Firstpost,2025-05-27T18:55:00Z,6.47,160465,2890,683,https://www.youtube.com/watch?v=H_jny_-OKjA,H_jny_-OKjA,,,,,,,
El PLAN de MADURO para SOBREVIVIR a MARCO RUBIO @VisualPolitik,VisualPolitik,2025-05-27T18:31:15Z,22.18,124383,5932,531,https://www.youtube.com/watch?v=utv20YLEnSw,utv20YLEnSw,,,,,,,
