video_id,video_url,segment_number,start_time,end_time,duration,sentiment,polarity,subjectivity,joy_score,anger_score,fear_score,sadness_score,surprise_score,disgust_score,trust_score,anticipation_score
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,1,0.1,49.5,49.3,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,2,45.7,86.3,40.6,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,3,88.4,122.8,34.5,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,4,121.6,157.4,35.8,positive,0.274,0.607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.544
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,5,154.6,189.7,35.0,neutral,0.091,0.354,0.0,0.0,0.0,10.309,0.0,0.0,0.0,10.309
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,6,188.0,222.1,34.1,neutral,0.012,0.239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,7,220.2,257.0,36.9,neutral,0.021,0.624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.874
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,8,255.4,291.8,36.3,positive,0.164,0.426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,9,288.6,321.5,33.0,neutral,0.093,0.647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.638
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,10,320.0,355.1,35.1,neutral,0.085,0.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,11,352.6,387.9,35.3,neutral,0.06,0.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,12,386.1,421.9,35.8,positive,0.264,0.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.434
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,13,420.3,454.7,34.4,positive,0.107,0.406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,14,452.7,486.6,33.9,positive,0.217,0.683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,15,485.1,519.4,34.3,positive,0.252,0.697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,16,517.5,552.1,34.6,positive,0.251,0.438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,17,550.3,587.0,36.6,positive,0.266,0.582,17.241,0.0,0.0,0.0,0.0,0.0,0.0,17.241
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,18,584.1,622.1,38.0,neutral,0.059,0.239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,19,618.8,653.8,35.0,positive,0.119,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,20,651.9,691.6,39.7,positive,0.233,0.743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,21,686.2,724.1,37.9,neutral,-0.043,0.563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,22,722.0,757.5,35.5,neutral,0.061,0.363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,23,755.0,788.3,33.3,neutral,0.058,0.628,9.346,0.0,0.0,0.0,0.0,0.0,0.0,9.346
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,24,786.9,819.8,33.0,positive,0.244,0.596,9.615,0.0,9.615,0.0,0.0,0.0,0.0,9.615
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,25,818.6,853.4,34.8,positive,0.226,0.468,8.065,0.0,0.0,0.0,0.0,0.0,0.0,8.065
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,26,851.0,888.1,37.0,neutral,0.089,0.502,8.772,0.0,0.0,0.0,0.0,0.0,0.0,8.772
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,27,885.4,921.4,36.0,neutral,0.069,0.283,0.0,9.009,0.0,0.0,0.0,0.0,0.0,0.0
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,28,918.7,953.1,34.4,neutral,0.069,0.481,0.0,7.812,0.0,0.0,0.0,0.0,0.0,0.0
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,29,951.6,984.8,33.2,positive,0.357,0.547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,30,983.6,1019.9,36.3,positive,0.564,0.548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,31,1017.6,1056.8,39.2,positive,0.217,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,32,1054.6,1089.7,35.1,positive,0.359,0.619,9.346,0.0,0.0,0.0,0.0,0.0,0.0,9.346
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,33,1088.2,1122.8,34.6,neutral,0.021,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.85
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,34,1121.1,1155.6,34.5,positive,0.144,0.356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,35,1154.5,1191.1,36.6,positive,0.234,0.394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,36,1189.4,1226.2,36.8,positive,0.153,0.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.526
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,37,1224.6,1259.8,35.2,negative,-0.206,0.443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,38,1257.0,1291.4,34.5,neutral,-0.085,0.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,39,1289.8,1325.6,35.8,neutral,0.074,0.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
