row_number,video_id,url,video_length_seconds,video_length_minutes,total_segments,word_count,overall_sentiment,polarity,subjectivity,joy_score,anger_score,fear_score,sadness_score,surprise_score,disgust_score,trust_score,anticipation_score
1,T6tP0il4z64,https://www.youtube.com/watch?v=T6tP0il4z64,13402.6,223.4,396,39954,positive,0.162,0.487,2.027,1.377,0.15,0.125,0.125,0.0,0.425,1.952
7,scOooV7j8fk,https://www.youtube.com/watch?v=scOooV7j8fk,1487.0,24.8,45,4672,positive,0.119,0.532,1.07,1.926,0.214,0.214,0.0,0.0,0.642,0.428
14,V8DY6XBtrPk,https://www.youtube.com/watch?v=V8DY6XBtrPk,764.6,12.7,21,2544,positive,0.155,0.445,7.862,0.786,0.0,0.0,0.0,0.0,0.0,0.393
16,Bv_mYJHbwYM,https://www.youtube.com/watch?v=Bv_mYJHbwYM,643.8,10.7,20,1967,neutral,0.096,0.388,0.0,0.508,0.0,0.0,0.0,0.0,1.017,0.0
18,5sr4LmoP3zk,https://www.youtube.com/watch?v=5sr4LmoP3zk,1198.7,20.0,34,4527,neutral,0.091,0.484,1.104,1.767,0.0,0.0,0.221,0.0,0.221,2.209
20,pLxUmEe1ejo,https://www.youtube.com/watch?v=pLxUmEe1ejo,489.7,8.2,15,1207,positive,0.137,0.463,0.0,3.314,0.0,0.0,0.0,0.0,0.0,0.0
31,RWSUR3J8ebE,https://www.youtube.com/watch?v=RWSUR3J8ebE,639.6,10.7,20,2652,positive,0.195,0.469,0.377,2.262,0.0,0.0,0.377,0.0,0.754,0.0
37,9K8gpfzy3K8,https://www.youtube.com/watch?v=9K8gpfzy3K8,3558.3,59.3,105,9693,neutral,0.082,0.529,0.516,4.23,0.206,0.206,0.516,0.206,1.341,0.103
38,96r--tlcevA,https://www.youtube.com/watch?v=96r--tlcevA,887.4,14.8,26,2136,positive,0.147,0.459,0.468,0.468,0.0,0.468,0.0,0.0,2.809,0.0
40,TsE9AtLJm_g,https://www.youtube.com/watch?v=TsE9AtLJm_g,16338.7,272.3,428,26854,positive,0.199,0.484,2.495,1.787,0.037,0.074,0.0,0.0,1.899,0.708
50,E9EseprM9RM,https://www.youtube.com/watch?v=E9EseprM9RM,15148.3,252.5,422,28735,positive,0.189,0.515,0.766,1.218,0.209,0.174,0.035,0.0,2.401,0.07
51,4o9Mes5Y4s0,https://www.youtube.com/watch?v=4o9Mes5Y4s0,1912.3,31.9,53,3536,positive,0.258,0.498,1.697,0.566,0.0,0.0,0.0,0.0,1.131,0.283
