row_number,video_id,url,video_length_seconds,video_length_minutes,total_segments,word_count,overall_sentiment,polarity,subjectivity,joy_score,anger_score,fear_score,sadness_score,surprise_score,disgust_score,trust_score,anticipation_score
19,Bv_mYJHbwYM,https://www.youtube.com/watch?v=Bv_mYJHbwYM,643.8,10.7,20,1967,neutral,0.096,0.388,0.0,0.508,0.0,0.0,0.0,0.0,1.017,0.0
24,fj9cjcFkFko,https://www.youtube.com/watch?v=fj9cjcFkFko,367.9,6.1,12,1191,positive,0.111,0.484,0.0,2.519,0.0,0.0,0.0,0.0,2.519,0.0
25,ZiFanZQnN0o,https://www.youtube.com/watch?v=ZiFanZQnN0o,23243.2,387.4,637,42934,positive,0.16,0.528,1.607,1.584,0.536,0.279,0.21,0.0,0.722,0.629
26,6q9Kf_EpsD8,https://www.youtube.com/watch?v=6q9Kf_EpsD8,487.2,8.1,14,1459,neutral,0.022,0.363,0.0,0.685,0.0,0.0,0.0,0.0,0.0,0.0
35,gCR3OFSZs-I,https://www.youtube.com/watch?v=gCR3OFSZs-I,6959.6,116.0,188,12217,neutral,0.066,0.523,0.573,1.719,1.637,0.082,0.0,0.0,0.9,0.0
36,jPSvMvgS-Bw,https://www.youtube.com/watch?v=jPSvMvgS-Bw,278.6,4.6,8,802,positive,0.204,0.458,2.494,1.247,0.0,0.0,0.0,0.0,1.247,0.0
38,pWPHm7wiIw0,https://www.youtube.com/watch?v=pWPHm7wiIw0,1835.1,30.6,42,1925,positive,0.167,0.497,0.519,2.597,0.0,0.519,0.0,0.0,0.0,0.519
57,zx7JPEP-w5U,https://www.youtube.com/watch?v=zx7JPEP-w5U,526.7,8.8,17,1614,neutral,0.072,0.378,0.0,2.478,0.0,0.0,0.0,0.0,0.0,0.62
59,XbzEEgvywSQ,https://www.youtube.com/watch?v=XbzEEgvywSQ,597.8,10.0,19,1748,neutral,0.055,0.316,0.572,1.716,0.0,0.0,0.0,0.0,0.0,0.0
60,kKT-YQQ7a9o,https://www.youtube.com/watch?v=kKT-YQQ7a9o,711.5,11.9,21,2366,neutral,0.042,0.402,0.845,1.691,0.0,0.0,0.0,0.0,0.0,0.0
61,4OsXawgnvFU,https://www.youtube.com/watch?v=4OsXawgnvFU,5137.2,85.6,148,14579,positive,0.123,0.482,1.44,1.509,0.274,0.137,0.206,0.0,0.549,0.206
