row_number,video_id,url,video_length_seconds,video_length_minutes,total_segments,word_count,overall_sentiment,polarity,subjectivity,joy_score,anger_score,fear_score,sadness_score,surprise_score,disgust_score,trust_score,anticipation_score
2,Q-xFWVx5k3w,https://www.youtube.com/watch?v=Q-xFWVx5k3w,905.9,15.1,28,2775,neutral,0.079,0.529,0.36,2.883,1.441,0.0,0.0,0.0,1.802,0.0
8,9JuiQ_WecPk,https://www.youtube.com/watch?v=9JuiQ_WecPk,2118.4,35.3,60,4861,positive,0.162,0.467,2.057,2.263,0.0,0.0,0.206,0.0,1.646,0.206
10,zt16BRRhMCA,https://www.youtube.com/watch?v=zt16BRRhMCA,2303.4,38.4,64,4584,positive,0.104,0.493,2.4,1.527,0.873,0.0,0.0,0.0,0.654,1.309
17,gCR3OFSZs-I,https://www.youtube.com/watch?v=gCR3OFSZs-I,6959.6,116.0,188,12217,neutral,0.066,0.523,0.573,1.719,1.637,0.082,0.0,0.0,0.9,0.0
19,jPSvMvgS-Bw,https://www.youtube.com/watch?v=jPSvMvgS-Bw,278.6,4.6,8,802,positive,0.204,0.458,2.494,1.247,0.0,0.0,0.0,0.0,1.247,0.0
22,oBOAgZ4pGII,https://www.youtube.com/watch?v=oBOAgZ4pGII,536.4,8.9,16,1549,positive,0.203,0.493,1.291,1.291,1.937,0.0,0.0,0.0,1.291,0.646
29,px2lddDFqPQ,https://www.youtube.com/watch?v=px2lddDFqPQ,2712.9,45.2,81,8431,positive,0.127,0.46,1.305,0.593,0.237,0.0,0.119,0.0,1.186,1.423
30,vuYxU2Ueb3k,https://www.youtube.com/watch?v=vuYxU2Ueb3k,135.8,2.3,4,471,positive,0.162,0.545,0.0,2.123,0.0,0.0,0.0,0.0,14.862,0.0
34,MuKBX9qszj4,https://www.youtube.com/watch?v=MuKBX9qszj4,204.8,3.4,7,776,neutral,0.091,0.536,0.0,2.577,0.0,0.0,0.0,0.0,0.0,2.577
36,m_fN_sC7YjA,https://www.youtube.com/watch?v=m_fN_sC7YjA,923.8,15.4,28,2962,neutral,0.048,0.417,0.338,2.026,0.0,0.0,0.338,0.0,0.675,0.338
42,Ddat5o_CRCs,https://www.youtube.com/watch?v=Ddat5o_CRCs,2876.7,47.9,87,10831,positive,0.197,0.488,0.646,1.108,0.0,0.185,0.185,0.0,1.293,0.277
43,_invBeC8VXw,https://www.youtube.com/watch?v=_invBeC8VXw,2432.0,40.5,71,5314,neutral,0.073,0.417,0.0,1.505,0.0,0.188,0.0,0.0,0.0,0.0
45,zx7JPEP-w5U,https://www.youtube.com/watch?v=zx7JPEP-w5U,526.7,8.8,17,1614,neutral,0.072,0.378,0.0,2.478,0.0,0.0,0.0,0.0,0.0,0.62
46,dZqL55kP-5A,https://www.youtube.com/watch?v=dZqL55kP-5A,5460.5,91.0,141,2187,positive,0.485,0.948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,QhLi9R7S4FU,https://www.youtube.com/watch?v=QhLi9R7S4FU,1378.2,23.0,37,2114,positive,0.215,0.56,3.311,0.0,0.0,0.473,0.0,0.0,0.0,0.0
56,DBZer7jt08A,https://www.youtube.com/watch?v=DBZer7jt08A,659.4,11.0,20,1746,positive,0.11,0.504,0.0,1.145,0.0,0.0,0.0,0.0,0.573,0.0
57,wGcpxDCMLcQ,https://www.youtube.com/watch?v=wGcpxDCMLcQ,480.4,8.0,14,890,neutral,0.06,0.502,0.0,1.124,0.0,0.0,0.0,0.0,1.124,0.0
58,yjsJrefNL00,https://www.youtube.com/watch?v=yjsJrefNL00,749.2,12.5,19,417,positive,0.178,0.461,2.398,0.0,0.0,0.0,0.0,0.0,2.398,0.0
