video_id,video_url,segment_number,start_time,end_time,duration,sentiment,polarity,subjectivity,joy_score,anger_score,fear_score,sadness_score,surprise_score,disgust_score,trust_score,anticipation_score
WYf9-xfm6t8,https://www.youtube.com/watch?v=WYf9-xfm6t8,1,0.0,33.1,33.1,neutral,0.026,0.474,0.0,7.692,0.0,0.0,0.0,0.0,7.692,0.0
WYf9-xfm6t8,https://www.youtube.com/watch?v=WYf9-xfm6t8,2,31.5,64.6,33.1,neutral,0.045,0.447,0.0,0.0,0.0,0.0,0.0,0.0,8.065,8.065
WYf9-xfm6t8,https://www.youtube.com/watch?v=WYf9-xfm6t8,3,62.9,97.7,34.8,neutral,0.09,0.538,0.0,6.803,0.0,0.0,0.0,0.0,0.0,0.0
WYf9-xfm6t8,https://www.youtube.com/watch?v=WYf9-xfm6t8,4,95.7,130.0,34.3,positive,0.117,0.627,7.937,7.937,0.0,0.0,0.0,0.0,0.0,0.0
WYf9-xfm6t8,https://www.youtube.com/watch?v=WYf9-xfm6t8,5,128.4,172.1,43.7,neutral,0.094,0.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WYf9-xfm6t8,https://www.youtube.com/watch?v=WYf9-xfm6t8,6,163.1,172.1,9.0,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,1,0.2,34.6,34.5,neutral,-0.006,0.562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,2,33.1,67.4,34.2,positive,0.193,0.482,7.937,7.937,0.0,0.0,0.0,0.0,0.0,7.937
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,3,65.8,99.3,33.4,neutral,-0.042,0.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,4,97.3,133.9,36.6,neutral,-0.026,0.443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,5,131.2,167.4,36.2,positive,0.2,0.485,20.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,6,164.3,199.6,35.3,negative,-0.122,0.641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,7,198.0,233.2,35.2,neutral,0.047,0.509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,8,230.2,265.0,34.8,positive,0.103,0.628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,9,262.9,298.2,35.3,neutral,0.093,0.399,0.0,18.692,0.0,0.0,9.346,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,10,296.2,331.7,35.4,positive,0.103,0.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,11,329.8,366.1,36.3,neutral,0.061,0.544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,12,363.9,408.5,44.6,neutral,-0.025,0.631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,13,405.8,439.5,33.6,neutral,0.021,0.607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,14,440.6,475.7,35.1,positive,0.285,0.642,11.628,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,15,472.4,508.5,36.1,negative,-0.394,0.693,0.0,0.0,0.0,9.174,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,16,505.8,540.4,34.7,positive,0.145,0.505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,17,541.0,576.7,35.8,positive,0.121,0.514,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,18,574.6,610.3,35.7,neutral,-0.09,0.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,19,607.8,646.1,38.3,neutral,0.062,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,20,646.4,683.6,37.2,positive,0.478,0.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,21,679.6,718.6,39.0,negative,-0.221,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,22,714.8,752.0,37.2,positive,0.254,0.649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,23,752.6,787.8,35.2,neutral,0.05,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,24,785.9,824.8,38.9,positive,0.139,0.502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,25,822.5,857.6,35.1,neutral,-0.04,0.566,0.0,0.0,0.0,0.0,0.0,0.0,8.333,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,26,856.5,893.8,37.4,positive,0.265,0.649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,27,889.7,924.3,34.6,positive,0.13,0.32,9.259,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,28,922.6,959.5,36.8,positive,0.219,0.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,29,955.1,992.2,37.0,neutral,0.006,0.523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,30,988.5,1024.7,36.2,positive,0.414,0.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,31,1021.4,1057.9,36.6,positive,0.2,0.567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,32,1054.3,1093.9,39.6,positive,0.344,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,33,1090.5,1125.8,35.3,positive,0.148,0.493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,34,1122.7,1159.2,36.5,neutral,0.043,0.574,0.0,0.0,0.0,0.0,0.0,0.0,24.691,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,35,1157.3,1191.7,34.4,positive,0.132,0.52,11.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,36,1189.4,1223.9,34.6,positive,0.268,0.54,0.0,0.0,0.0,0.0,0.0,0.0,19.231,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,37,1221.9,1256.4,34.5,neutral,-0.016,0.684,22.989,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,38,1254.8,1290.1,35.3,neutral,0.047,0.63,18.519,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,39,1288.4,1328.5,40.1,neutral,0.097,0.466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,40,1325.3,1362.4,37.1,positive,0.24,0.553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,41,1358.7,1395.9,37.2,positive,0.137,0.501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,42,1393.3,1428.7,35.4,positive,0.114,0.413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,43,1425.0,1462.1,37.0,neutral,0.061,0.651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,44,1460.1,1497.2,37.1,positive,0.297,0.541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,45,1493.3,1529.2,35.9,positive,0.127,0.317,0.0,14.925,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,46,1528.1,1565.0,36.9,positive,0.286,0.536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,47,1563.0,1598.8,35.8,positive,0.211,0.596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,48,1596.0,1633.5,37.5,positive,0.3,0.578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,49,1629.5,1664.6,35.0,positive,0.425,0.479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,50,1663.0,1700.5,37.5,neutral,0.069,0.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,51,1698.4,1735.1,36.7,positive,0.165,0.564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,52,1731.6,1770.2,38.6,neutral,-0.043,0.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,53,1766.1,1802.6,36.5,positive,0.112,0.497,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,54,1799.6,1837.8,38.2,positive,0.158,0.513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,55,1836.5,1872.2,35.7,neutral,0.033,0.233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
