row_number,video_id,url,video_length_seconds,video_length_minutes,total_segments,word_count,overall_sentiment,polarity,subjectivity,joy_score,anger_score,fear_score,sadness_score,surprise_score,disgust_score,trust_score,anticipation_score
3,WYf9-xfm6t8,https://www.youtube.com/watch?v=WYf9-xfm6t8,172.1,2.9,6,658,neutral,0.074,0.511,1.52,4.559,0.0,0.0,0.0,0.0,3.04,1.52
5,Zsp7GrEXBeQ,https://www.youtube.com/watch?v=Zsp7GrEXBeQ,2949.3,49.2,87,7836,positive,0.142,0.527,1.787,0.51,0.0,0.255,0.128,0.0,1.149,0.128
9,ijwjdzNvQ7Q,https://www.youtube.com/watch?v=ijwjdzNvQ7Q,1408.8,23.5,42,4020,positive,0.107,0.552,0.746,2.985,0.498,0.249,0.0,0.0,2.239,0.0
12,jwhljHLotQg,https://www.youtube.com/watch?v=jwhljHLotQg,2136.1,35.6,65,6264,positive,0.203,0.525,3.512,1.596,0.0,0.0,0.16,0.0,0.16,0.479
14,I2NfoaJt-0k,https://www.youtube.com/watch?v=I2NfoaJt-0k,634.4,10.6,19,1972,neutral,0.089,0.514,0.0,1.521,0.507,0.0,0.507,0.0,0.0,0.0
16,djJ63Ueahiw,https://www.youtube.com/watch?v=djJ63Ueahiw,1823.4,30.4,53,4794,positive,0.181,0.483,1.877,0.626,0.0,0.0,0.0,0.0,0.0,0.0
19,jJj9Z61WmUk,https://www.youtube.com/watch?v=jJj9Z61WmUk,629.8,10.5,19,1903,positive,0.185,0.487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,gCR3OFSZs-I,https://www.youtube.com/watch?v=gCR3OFSZs-I,6959.6,116.0,188,12217,neutral,0.066,0.523,0.573,1.719,1.637,0.082,0.0,0.0,0.9,0.0
27,jPSvMvgS-Bw,https://www.youtube.com/watch?v=jPSvMvgS-Bw,278.6,4.6,8,802,positive,0.204,0.458,2.494,1.247,0.0,0.0,0.0,0.0,1.247,0.0
29,e8VSXrknk8E,https://www.youtube.com/watch?v=e8VSXrknk8E,4054.5,67.6,124,12168,positive,0.156,0.468,0.082,1.233,0.411,0.247,0.0,0.0,2.137,0.0
36,UwcufqFJV6o,https://www.youtube.com/watch?v=UwcufqFJV6o,1193.1,19.9,35,2561,neutral,0.086,0.417,1.562,2.343,0.0,0.0,0.0,0.0,1.562,0.0
42,_invBeC8VXw,https://www.youtube.com/watch?v=_invBeC8VXw,2432.0,40.5,71,5314,neutral,0.073,0.417,0.0,1.505,0.0,0.188,0.0,0.0,0.0,0.0
45,DtW8rTEgQKo,https://www.youtube.com/watch?v=DtW8rTEgQKo,545.0,9.1,17,1571,positive,0.217,0.508,0.0,2.546,0.0,0.0,0.0,0.0,0.0,0.0
47,dZqL55kP-5A,https://www.youtube.com/watch?v=dZqL55kP-5A,5460.5,91.0,141,2187,positive,0.485,0.948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
