video_id,video_url,segment_number,start_time,end_time,duration,sentiment,polarity,subjectivity,joy_score,anger_score,fear_score,sadness_score,surprise_score,disgust_score,trust_score,anticipation_score
Zzt5IxhlxHk,https://www.youtube.com/watch?v=Zzt5IxhlxHk,1,0.8,37.5,36.8,negative,-0.132,0.652,0.0,11.765,0.0,0.0,0.0,0.0,0.0,0.0
Zzt5IxhlxHk,https://www.youtube.com/watch?v=Zzt5IxhlxHk,2,34.6,69.6,35.0,neutral,-0.011,0.521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zzt5IxhlxHk,https://www.youtube.com/watch?v=Zzt5IxhlxHk,3,67.8,106.5,38.6,negative,-0.238,0.578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zzt5IxhlxHk,https://www.youtube.com/watch?v=Zzt5IxhlxHk,4,103.1,137.4,34.3,neutral,-0.009,0.586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zzt5IxhlxHk,https://www.youtube.com/watch?v=Zzt5IxhlxHk,5,135.6,173.8,38.2,positive,0.172,0.639,0.0,20.833,0.0,10.417,0.0,0.0,0.0,0.0
Zzt5IxhlxHk,https://www.youtube.com/watch?v=Zzt5IxhlxHk,6,171.5,207.1,35.6,neutral,0.098,0.431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zzt5IxhlxHk,https://www.youtube.com/watch?v=Zzt5IxhlxHk,7,204.6,239.5,34.9,neutral,0.032,0.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zzt5IxhlxHk,https://www.youtube.com/watch?v=Zzt5IxhlxHk,8,237.8,275.4,37.6,negative,-0.194,0.401,0.0,0.0,0.0,10.753,0.0,0.0,0.0,0.0
Zzt5IxhlxHk,https://www.youtube.com/watch?v=Zzt5IxhlxHk,9,272.6,311.8,39.3,neutral,-0.062,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zzt5IxhlxHk,https://www.youtube.com/watch?v=Zzt5IxhlxHk,10,307.7,343.2,35.5,neutral,-0.0,0.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zzt5IxhlxHk,https://www.youtube.com/watch?v=Zzt5IxhlxHk,11,340.7,376.0,35.3,neutral,-0.001,0.459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zzt5IxhlxHk,https://www.youtube.com/watch?v=Zzt5IxhlxHk,12,374.6,413.0,38.4,negative,-0.148,0.544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zzt5IxhlxHk,https://www.youtube.com/watch?v=Zzt5IxhlxHk,13,410.0,445.9,35.9,negative,-0.105,0.54,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0
Zzt5IxhlxHk,https://www.youtube.com/watch?v=Zzt5IxhlxHk,14,443.3,477.8,34.6,neutral,0.006,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zzt5IxhlxHk,https://www.youtube.com/watch?v=Zzt5IxhlxHk,15,475.8,514.6,38.7,negative,-0.261,0.391,0.0,0.0,0.0,22.222,0.0,0.0,0.0,0.0
Zzt5IxhlxHk,https://www.youtube.com/watch?v=Zzt5IxhlxHk,16,511.6,544.6,33.0,positive,0.27,0.598,0.0,0.0,18.692,0.0,0.0,0.0,0.0,0.0
Zzt5IxhlxHk,https://www.youtube.com/watch?v=Zzt5IxhlxHk,17,542.7,583.2,40.5,neutral,0.017,0.674,0.0,9.524,0.0,0.0,0.0,0.0,9.524,0.0
Zzt5IxhlxHk,https://www.youtube.com/watch?v=Zzt5IxhlxHk,18,579.0,614.5,35.4,positive,0.389,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zzt5IxhlxHk,https://www.youtube.com/watch?v=Zzt5IxhlxHk,19,611.8,647.6,35.8,positive,0.114,0.339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zzt5IxhlxHk,https://www.youtube.com/watch?v=Zzt5IxhlxHk,20,644.8,682.9,38.1,positive,0.116,0.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zzt5IxhlxHk,https://www.youtube.com/watch?v=Zzt5IxhlxHk,21,680.2,716.9,36.7,positive,0.233,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.658
Zzt5IxhlxHk,https://www.youtube.com/watch?v=Zzt5IxhlxHk,22,714.8,750.4,35.6,positive,0.189,0.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zzt5IxhlxHk,https://www.youtube.com/watch?v=Zzt5IxhlxHk,23,748.0,781.9,33.9,neutral,0.067,0.2,0.0,0.0,0.0,0.0,0.0,0.0,20.833,0.0
Zzt5IxhlxHk,https://www.youtube.com/watch?v=Zzt5IxhlxHk,24,780.1,817.8,37.8,neutral,0.082,0.404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zzt5IxhlxHk,https://www.youtube.com/watch?v=Zzt5IxhlxHk,25,815.8,852.8,37.0,positive,0.311,0.504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
