row_number,video_id,url,video_length_seconds,video_length_minutes,total_segments,word_count,overall_sentiment,polarity,subjectivity,joy_score,anger_score,fear_score,sadness_score,surprise_score,disgust_score,trust_score,anticipation_score
2,Q-xFWVx5k3w,https://www.youtube.com/watch?v=Q-xFWVx5k3w,905.9,15.1,28,2775,neutral,0.079,0.529,0.36,2.883,1.441,0.0,0.0,0.0,1.802,0.0
16,fj9cjcFkFko,https://www.youtube.com/watch?v=fj9cjcFkFko,367.9,6.1,12,1191,positive,0.111,0.484,0.0,2.519,0.0,0.0,0.0,0.0,2.519,0.0
19,7yrT5eImSMU,https://www.youtube.com/watch?v=7yrT5eImSMU,238.7,4.0,7,895,neutral,-0.002,0.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,-AVoVXmJARk,https://www.youtube.com/watch?v=-AVoVXmJARk,199.0,3.3,6,599,neutral,0.087,0.475,0.0,1.669,0.0,0.0,0.0,0.0,1.669,0.0
24,D4wcq125Y4M,https://www.youtube.com/watch?v=D4wcq125Y4M,599.2,10.0,15,1465,neutral,0.042,0.563,4.096,2.73,0.0,0.0,0.0,0.0,2.048,2.73
26,bnISFmNQPKk,https://www.youtube.com/watch?v=bnISFmNQPKk,5081.8,84.7,153,17016,positive,0.114,0.466,0.529,2.645,0.353,0.0,0.235,0.0,1.822,0.47
30,kVr5dtsN70w,https://www.youtube.com/watch?v=kVr5dtsN70w,358.0,6.0,11,961,neutral,0.083,0.543,2.081,3.122,0.0,0.0,0.0,0.0,1.041,0.0
31,Ib9KhUl1pt0,https://www.youtube.com/watch?v=Ib9KhUl1pt0,1660.6,27.7,48,4598,positive,0.121,0.579,0.435,3.262,0.217,0.0,0.0,0.0,0.0,0.217
41,og53LdCFekI,https://www.youtube.com/watch?v=og53LdCFekI,423.4,7.1,13,1186,positive,0.14,0.514,0.843,0.843,0.0,0.0,0.0,0.0,0.0,0.0
42,Ddat5o_CRCs,https://www.youtube.com/watch?v=Ddat5o_CRCs,2876.7,47.9,87,10831,positive,0.197,0.488,0.646,1.108,0.0,0.185,0.185,0.0,1.293,0.277
44,fjVRYqZxh7Y,https://www.youtube.com/watch?v=fjVRYqZxh7Y,1290.7,21.5,38,3219,positive,0.138,0.476,1.553,4.349,0.0,1.243,0.0,0.0,1.243,0.311
45,dZqL55kP-5A,https://www.youtube.com/watch?v=dZqL55kP-5A,5460.5,91.0,141,2187,positive,0.485,0.948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Hrco7tKNwkw,https://www.youtube.com/watch?v=Hrco7tKNwkw,1077.0,17.9,30,2403,neutral,0.07,0.37,0.0,1.665,0.0,0.0,0.0,0.0,0.0,0.0
47,XbzEEgvywSQ,https://www.youtube.com/watch?v=XbzEEgvywSQ,597.8,10.0,19,1748,neutral,0.055,0.316,0.572,1.716,0.0,0.0,0.0,0.0,0.0,0.0
49,QhLi9R7S4FU,https://www.youtube.com/watch?v=QhLi9R7S4FU,1378.2,23.0,37,2114,positive,0.215,0.56,3.311,0.0,0.0,0.473,0.0,0.0,0.0,0.0
55,4o9Mes5Y4s0,https://www.youtube.com/watch?v=4o9Mes5Y4s0,1912.3,31.9,53,3536,positive,0.258,0.498,1.697,0.566,0.0,0.0,0.0,0.0,1.131,0.283
