title,channel,publishedAt,duration_min,views,likes,comments,url,video_id,subscriber_count,channel_age_days,language,category_id,category_name,hashtags,channel_description
제21대 대선 마지막 TV토론.. 후보자 초청 정치분야 3차 토론회 생중계 - [LIVE] MBC중계방송 2025년 05월 27일,MBCNEWS,2025-05-28T01:13:23Z,116.65,1624015,26745,62,https://www.youtube.com/watch?v=6k_TZFrADUs,6k_TZFrADUs,,,,,,,
King Charles DESTROYS Trump in THRONE SPEECH,MeidasTouch,2025-05-27T18:30:06Z,14.35,1134704,76625,9587,https://www.youtube.com/watch?v=6BdwIyt0fVU,6BdwIyt0fVU,,,,,,,
(Restream) Anh Môi Chúm Chím buôn bán tấp nập không ngơi tay cùng dàn xe cá mập signature xịn xò.,MixiGaming,2025-05-27T21:19:34Z,332.17,885443,16210,0,https://www.youtube.com/watch?v=mc3HBGAj-EU,mc3HBGAj-EU,,,,,,,
"Hola, Eres Billonario? | 21 Días Entre Millonarios",Nil Ojeda,2025-05-27T18:30:06Z,71.95,737140,56728,2189,https://www.youtube.com/watch?v=3pZfxyIAdOM,3pZfxyIAdOM,,,,,,,
Japan Just Broke the Global Economy (Worse Than Greece),Andrei Jikh,2025-05-27T19:03:58Z,19.45,643188,21754,2220,https://www.youtube.com/watch?v=3FZipnSI_po,3FZipnSI_po,,,,,,,
DAILY BLESSING 2025 MAY-28/FR.MATHEW VAYALAMANNIL CST#DailyBlessing #Frmathewhvayalamannil,Sanoop Kanjamala,2025-05-27T23:58:06Z,11.62,352155,27434,8923,https://www.youtube.com/watch?v=DXl2_7gMVus,DXl2_7gMVus,,,,,,,
"[시선집중] ""하버드 나왔다는 사람이 그걸.."", '선 넘은' 발언에 신지호도 (2025.05.28/MBC뉴스)",MBCNEWS,2025-05-28T00:26:25Z,3.27,270812,8149,3064,https://www.youtube.com/watch?v=l-dcyQQ14JQ,l-dcyQQ14JQ,,,,,,,
"[시선집중] ""하버드 나왔다는 사람이 그걸.."", '선 넘은' 발언에 신지호도 (2025.05.28/MBC뉴스)",MBCNEWS,2025-05-28T00:26:25Z,3.27,270812,8149,3064,https://www.youtube.com/watch?v=l-dcyQQ14JQ,l-dcyQQ14JQ,,,,,,,
"[박정호의 핫스팟+신용한] ‘현타’ 세게 왔을 이준석? “젓가락 발언, 단일화 매개될 수도”",오마이TV,2025-05-28T01:25:55Z,15.93,244430,9006,1439,https://www.youtube.com/watch?v=WY84BLEwmVc,WY84BLEwmVc,,,,,,,
"찐윤 윤상현을? ""선거운동 안해!"" 폭발, 한동훈 등장엔 ""배신자""..파열음 격화 - [핫이슈PLAY] MBC뉴스 2025년 05월 27일",MBCNEWS,2025-05-28T06:43:11Z,714.98,237262,2255,109,https://www.youtube.com/watch?v=K72JOcc-hxU,K72JOcc-hxU,,,,,,,
