row_number,video_id,url,video_length_seconds,video_length_minutes,total_segments,word_count,overall_sentiment,polarity,subjectivity,joy_score,anger_score,fear_score,sadness_score,surprise_score,disgust_score,trust_score,anticipation_score
5,Q-xFWVx5k3w,https://www.youtube.com/watch?v=Q-xFWVx5k3w,905.9,15.1,28,2775,neutral,0.079,0.529,0.36,2.883,1.441,0.0,0.0,0.0,1.802,0.0
14,u7lB6UXLLIo,https://www.youtube.com/watch?v=u7lB6UXLLIo,37596.7,626.6,888,13252,positive,0.196,0.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,JQYuc_Fug4g,https://www.youtube.com/watch?v=JQYuc_Fug4g,903.2,15.1,27,2331,neutral,0.082,0.452,0.0,2.574,0.429,0.0,0.429,0.0,0.858,0.0
23,R9HhrUBPfAE,https://www.youtube.com/watch?v=R9HhrUBPfAE,128.3,2.1,4,364,neutral,-0.029,0.496,2.747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,7yrT5eImSMU,https://www.youtube.com/watch?v=7yrT5eImSMU,238.7,4.0,7,895,neutral,-0.002,0.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,jJj9Z61WmUk,https://www.youtube.com/watch?v=jJj9Z61WmUk,629.8,10.5,19,1903,positive,0.185,0.487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,D4wcq125Y4M,https://www.youtube.com/watch?v=D4wcq125Y4M,599.2,10.0,15,1465,neutral,0.042,0.563,4.096,2.73,0.0,0.0,0.0,0.0,2.048,2.73
30,aZsepSZJSmQ,https://www.youtube.com/watch?v=aZsepSZJSmQ,826.5,13.8,21,804,positive,0.146,0.441,1.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,QNs5E31LrP8,https://www.youtube.com/watch?v=QNs5E31LrP8,18361.2,306.0,280,1613,neutral,-0.043,0.185,0.0,2.48,0.0,0.0,0.0,0.0,0.0,0.0
45,xo3HBn8pHG4,https://www.youtube.com/watch?v=xo3HBn8pHG4,264.5,4.4,8,665,neutral,0.041,0.423,0.0,1.504,4.511,0.0,0.0,0.0,0.0,0.0
46,og53LdCFekI,https://www.youtube.com/watch?v=og53LdCFekI,423.4,7.1,13,1186,positive,0.14,0.514,0.843,0.843,0.0,0.0,0.0,0.0,0.0,0.0
49,DtW8rTEgQKo,https://www.youtube.com/watch?v=DtW8rTEgQKo,545.0,9.1,17,1571,positive,0.217,0.508,0.0,2.546,0.0,0.0,0.0,0.0,0.0,0.0
51,Hrco7tKNwkw,https://www.youtube.com/watch?v=Hrco7tKNwkw,1077.0,17.9,30,2403,neutral,0.07,0.37,0.0,1.665,0.0,0.0,0.0,0.0,0.0,0.0
52,XbzEEgvywSQ,https://www.youtube.com/watch?v=XbzEEgvywSQ,597.8,10.0,19,1748,neutral,0.055,0.316,0.572,1.716,0.0,0.0,0.0,0.0,0.0,0.0
53,QhLi9R7S4FU,https://www.youtube.com/watch?v=QhLi9R7S4FU,1378.2,23.0,37,2114,positive,0.215,0.56,3.311,0.0,0.0,0.473,0.0,0.0,0.0,0.0
55,dIdnjBQLB0A,https://www.youtube.com/watch?v=dIdnjBQLB0A,619.8,10.3,19,1814,neutral,0.084,0.477,0.0,2.205,0.551,0.0,0.0,0.0,1.103,0.0
