title,channel,publishedAt,duration_min,views,likes,comments,url,video_id,subscriber_count,channel_age_days,language,category_id,category_name,hashtags,channel_description
Pakistan India War | Pakistan J-10 C Fighter Jets Attack on Indian Army Supply Convoy- GTA V,The Gaming ,2025-05-28T08:23:54Z,714.98,1693469,3143,0,https://www.youtube.com/watch?v=PH3CoMQdE-M,PH3CoMQdE-M,,,,,,,
King Charles DESTROYS Trump in THRONE SPEECH,MeidasTouch,2025-05-27T18:30:06Z,14.35,1135299,76637,9589,https://www.youtube.com/watch?v=6BdwIyt0fVU,6BdwIyt0fVU,,,,,,,
SpaceX Starship Flight 9,NASASpaceflight,2025-05-28T01:58:51Z,371.12,979317,19135,182,https://www.youtube.com/watch?v=hAdLlG9Rfd4,hAdLlG9Rfd4,,,,,,,
(Restream) Anh Môi Chúm Chím buôn bán tấp nập không ngơi tay cùng dàn xe cá mập signature xịn xò.,MixiGaming,2025-05-27T21:19:34Z,332.17,885443,16211,0,https://www.youtube.com/watch?v=mc3HBGAj-EU,mc3HBGAj-EU,,,,,,,
Yailin La Mas Viral - Todos Mienten (Video Oficial),Yailin La Mas Viral,2025-05-27T20:00:06Z,2.13,852381,94224,11670,https://www.youtube.com/watch?v=WjL0sp18T9c,WjL0sp18T9c,,,,,,,
"Hola, Eres Billonario? | 21 Días Entre Millonarios",Nil Ojeda,2025-05-27T18:30:06Z,71.95,737140,56739,2189,https://www.youtube.com/watch?v=3pZfxyIAdOM,3pZfxyIAdOM,,,,,,,
"Visito la cárcel de Pablo Escobar ""La Catedral""",TheGrefg,2025-05-27T19:51:41Z,21.2,589484,37785,1071,https://www.youtube.com/watch?v=ObjX8R8gkFM,ObjX8R8gkFM,,,,,,,
Live🔴Siricilla Woman Incident | నడి రోడ్డుపై  మనోజ్ | Accused Manoj | Chandurthi |,SumanTV Suryapet,2025-05-28T06:18:50Z,715.02,501588,1285,5,https://www.youtube.com/watch?v=wobmF2mN2y8,wobmF2mN2y8,,,,,,,
LOS NIÑOS se QUEDAN SOLOS EN LA CASA por 24 HORAS! *hacen travesuras!*,ARTA GAME,2025-05-27T18:40:00Z,22.73,397415,11499,1202,https://www.youtube.com/watch?v=5lNokJm-XFo,5lNokJm-XFo,,,,,,,
DAILY BLESSING 2025 MAY-28/FR.MATHEW VAYALAMANNIL CST#DailyBlessing #Frmathewhvayalamannil,Sanoop Kanjamala,2025-05-27T23:58:06Z,11.62,352155,27442,8928,https://www.youtube.com/watch?v=DXl2_7gMVus,DXl2_7gMVus,,,,,,,
GRUELLING DAY IN THE MOUNTAINS 😳 | Men's Giro d'Italia Stage 16 Race Highlights | TNT Sports Cycling,TNT Sports Cycling,2025-05-27T17:58:46Z,8.9,261959,5130,271,https://www.youtube.com/watch?v=60p9GMKVTIY,60p9GMKVTIY,,,,,,,
Playing as Springtrap!!! (and against him) in Dead by Daylight,not Otzdarva,2025-05-27T18:47:20Z,37.8,202954,9215,814,https://www.youtube.com/watch?v=ZuRe4M_DVgQ,ZuRe4M_DVgQ,,,,,,,
¡12 AÑOS DESPUÉS! La ‘U’ EMPATÓ con River Plate y CLASIFICA a octavos,A PRESIÓN,2025-05-28T04:08:36Z,362.35,180834,4401,59,https://www.youtube.com/watch?v=NwE0J8M3usQ,NwE0J8M3usQ,,,,,,,
SIMS NEWS: base game update + new reward event!,lilsimsie,2025-05-27T19:00:04Z,19.98,165654,12008,718,https://www.youtube.com/watch?v=5sr4LmoP3zk,5sr4LmoP3zk,,,,,,,
Trump’s Trade Tactics: Is India Getting a Fair Deal? | Vantage with Palki Sharma  |N18G,Firstpost,2025-05-27T18:55:00Z,6.47,160465,2887,681,https://www.youtube.com/watch?v=H_jny_-OKjA,H_jny_-OKjA,,,,,,,
Алтын ханым,BM PRODUCTION ,2025-05-27T18:14:09Z,214.42,159244,3155,236,https://www.youtube.com/watch?v=SNRAyo0yiUs,SNRAyo0yiUs,,,,,,,
한덕수·최상목 출국금지 결정... '내란 가담' 증거 확보는? / [김어준의 겸손은힘들다 뉴스공장]-[인터뷰 제2공장],김용남의 용방불패tv,2025-05-28T00:15:04Z,37.38,159178,7785,295,https://www.youtube.com/watch?v=V2oZz5PQ5zM,V2oZz5PQ5zM,,,,,,,
El PLAN de MADURO para SOBREVIVIR a MARCO RUBIO @VisualPolitik,VisualPolitik,2025-05-27T18:31:15Z,22.18,124242,5928,531,https://www.youtube.com/watch?v=utv20YLEnSw,utv20YLEnSw,,,,,,,
ما بعد صفعة ماكرون.. خبيرة لغة الجسد تفضح الحقيقة: ماكرون وزوجته في توتر بعد واقعة الفيديو الصادم,Al Mashhad المشهد,2025-05-27T18:48:00Z,6.73,111528,876,403,https://www.youtube.com/watch?v=a_MnRZNgsiQ,a_MnRZNgsiQ,,,,,,,
Dodgers vs. Guardians Game Highlights (5/27/25) | MLB Highlights,Los Angeles Dodgers,2025-05-28T02:36:13Z,8.92,109528,2837,76,https://www.youtube.com/watch?v=H7r4mc1ncjA,H7r4mc1ncjA,,,,,,,
"Llueven demandas contra Ángel Martínez, el ""Detective""",José Peguero,2025-05-27T19:28:53Z,17.62,97697,3845,1024,https://www.youtube.com/watch?v=yp9xkwH79No,yp9xkwH79No,,,,,,,
La Rosa de Guadalupe | UN VACÍO EN EL CORAZÓN [Part 2] | Capítulo 2025 FULL HD VIDEO,AG Productions ,2025-05-27T18:35:00Z,19.63,95326,192,5,https://www.youtube.com/watch?v=WipI86V3rbo,WipI86V3rbo,,,,,,,
"Putin is preparing another attack, retired general warns",Fox News,2025-05-27T19:00:42Z,5.35,93732,1687,1237,https://www.youtube.com/watch?v=dxyLvZdojJ4,dxyLvZdojJ4,,,,,,,
"MARTES DE INTERNAS, MISTICISMOS con MILEI y HORA AFRICANA | HAY ALGO AHÍ | BLENDER",BLENDER,2025-05-28T02:31:56Z,123.97,90307,5412,39,https://www.youtube.com/watch?v=Vh-zyctnVm8,Vh-zyctnVm8,,,,,,,
France’s Macron Downplays Shove From First Lady | The View,The View,2025-05-27T18:00:28Z,4.33,73551,1143,788,https://www.youtube.com/watch?v=Wu7jEKK7u7c,Wu7jEKK7u7c,,,,,,,
Kudretimizi Gösterecek Bir Deli 🔥 - Mehmed: Fetihler Sultanı 47. Bölüm @trt1,Mehmed: Fetihler Sultanı,2025-05-27T19:42:31Z,6.95,73385,1031,71,https://www.youtube.com/watch?v=mqbZXugfb20,mqbZXugfb20,,,,,,,
Trump's UNHINGED Memorial Day meltdown goes OFF THE RAILS,David Pakman Show,2025-05-27T20:00:12Z,11.38,72217,4323,746,https://www.youtube.com/watch?v=D4wcq125Y4M,D4wcq125Y4M,,,,,,,
